Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,<= 50 Meters,False,0,White-breasted Nuthatch,Sitta carolinensis,178775.0,90935.0,WBNU,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Calling,50 - 100 Meters,False,0,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,<= 50 Meters,False,0,Orchard Oriole,Icterus spurius,179064.0,93634.0,OROR,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Visualization,<= 50 Meters,False,0,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,<= 50 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,50 - 100 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Horned Lark,Eremophila alpestris,554256.0,264079.0,HOLA,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,7.5 - 10 min,Visualization,<= 50 Meters,False,0,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Calling,50 - 100 Meters,False,0,American Crow,Corvus brachyrhynchos,179731.0,87106.0,AMCR,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,<= 50 Meters,False,0,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Yellow Warbler,Setophaga petechia,950039.0,773778.0,YEWA,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Visualization,<= 50 Meters,False,0,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0036,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,5 - 7.5 min,Calling,50 - 100 Meters,False,0,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Calling,<= 50 Meters,False,0,Downy Woodpecker,Picoides pubescens,178259.0,84936.0,DOWO,False,True,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Singing,<= 50 Meters,False,0,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,7.5 - 10 min,Singing,<= 50 Meters,False,0,Baltimore Oriole,Icterus galbula,179083.0,93655.0,BAOR,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,50 - 100 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0082,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Calling,50 - 100 Meters,False,0,Great Crested Flycatcher,Myiarchus crinitus,178309.0,85791.0,GCFL,False,False,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,<= 50 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,50 - 100 Meters,False,0,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,5 - 7.5 min,Calling,<= 50 Meters,False,0,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Calling,<= 50 Meters,False,0,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,5 - 7.5 min,Calling,<= 50 Meters,False,0,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0078,Forest,2018,5/22/2018,1/0/1900,1/0/1900,Kimberly Serno,1.0,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,0-2.5 min,Calling,50 - 100 Meters,False,0,Blue Jay,Cyanocitta cristata,179680.0,86252.0,BLJA,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True
ANTI,0.0,ANTI 1,ANTI-0025,Forest,2018,5/23/2018,1/0/1900,1/0/1900,Elizabeth Oswald,1.0,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False
